문장,길이,시간,국가
"To nail Kingman some school the first go so,",44,3.7,영국
I've got a new stadium.,23,1.4,영국
Did you enjoy that?,19,0.8,영국
"Hello,",6,1.6,영국
"you know even when I do this go first coat properly and you really really really this evening and and of course score for schools is also important,",148,9.9,영국
but I think the most important thing is because your plans here in the new stadium.,83,5.6,영국
What's the newest line?,23,1.7,영국
Amazing amazing amazing.,24,3.7,영국
"You can't even believe you know,",23,1.6,영국
when you're when you're on the picture has the balls back in I'm in the wind across start make the noise and you know the bounce back on the page and then to the to the stand again in writing it was I think was allowed this when I played it or not.,248,17.1,영국
It was just unbelievable feeling and that's why I think we perform even more better than the last few games ago along the fence.,128,8.9,영국
"I'd I feel like I've come home to the price sale on it,",55,3,영국
"you know,",8,1.9,영국
"cuz you know,",13,4.5,영국
"All I'm saying is this how do you close down the greatest economy in the history of the world when on January 17th,",115,7.5,미국
"if you have no cases and no death went on January 21st,",55,5.5,미국
you have one case and know that one case cigarette that we're supposed to close out of the country.,99,5.4,미국
But here's what happened.,25,1.2,미국
When on January 31st.,21,2.3,미국
I Institute of the band Joe Biden when crazy he said you don't need the van here.,81,6.2,미국
"Okay,",5,0.6,미국
so I guess he didn't even know what the hell the band was but he's so he didn't go crazy.,89,1.5,미국
But he did say he did call me then or wait a minute.,52,3,미국
He called me.,13,3.4,미국
He's NFL think he called me racist because he is since apologize and he said I did the right thing.,99,0.4,미국
So when you say why didn't you this every Democrat thought I made a mistake when I did it.,90,7.3,미국
I save tens of thousands baby hundreds of thousands of lives by her money argument that you bought yourself and you didn't use it.,130,6.6,미국
